feature_family_removed,feature_count_removed,roc_auc,pr_auc,precision_at_1pct,lift_at_1pct,precision_at_5pct,lift_at_5pct,precision_at_10pct,lift_at_10pct
add_to_cart_activity,5,0.835639,0.252896,0.478138,10.980175,0.294306,6.758592,0.214015,4.914747
product_buy_activity,5,0.835662,0.254673,0.482324,11.076314,0.296028,6.798116,0.21388,4.911649
remove_from_cart_activity,5,0.835879,0.253771,0.479254,11.005812,0.295265,6.780597,0.214197,4.918913
search_activity,5,0.8355,0.252698,0.478789,10.99513,0.29412,6.754319,0.21348,4.902463
recency_features,4,0.834105,0.251568,0.481952,11.067768,0.289106,6.639166,0.210773,4.840293
ratio_features,4,0.834274,0.25487,0.483766,11.109429,0.296102,6.799825,0.216174,4.964312
product_metadata_features,6,0.827523,0.248045,0.471114,10.818874,0.29306,6.729964,0.214197,4.918913
cohort_indicator,1,0.835558,0.253155,0.478742,10.994062,0.294837,6.77077,0.213922,4.912611
overall_activity,1,0.833895,0.24592,0.46516,10.682143,0.288985,6.636388,0.210429,4.832388
