experiment_id,description,included_e6_features,feature_count,total_model_feature_count,roc_auc,pr_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,lift_at_1pct,lift_at_5pct,lift_at_10pct,pr_auc_vs_full_e6,lift5_vs_full_e6,decision
full_e6,V2-2 plus all E6 velocity features,"cart_velocity_30d_vs_90d,cart_delta_30d_90d,buy_velocity_30d_vs_90d,buy_delta_30d_90d,search_velocity_30d_vs_90d,activity_intensity_ratio",6,33,0.832638,0.257996,0.49386,0.298828,0.21722,11.341231,6.862422,4.988347,0.0,0.0,REFERENCE
without_activity_intensity_ratio,Full E6 without activity_intensity_ratio,"cart_velocity_30d_vs_90d,cart_delta_30d_90d,buy_velocity_30d_vs_90d,buy_delta_30d_90d,search_velocity_30d_vs_90d",5,32,0.832395,0.258275,0.494046,0.299246,0.217202,11.345504,6.872036,4.98792,0.00108,0.001401,KEEP_AS_CANDIDATE
without_search_velocity,Full E6 without search velocity,"cart_velocity_30d_vs_90d,cart_delta_30d_90d,buy_velocity_30d_vs_90d,buy_delta_30d_90d,activity_intensity_ratio",5,32,0.832813,0.25794,0.493209,0.298651,0.217132,11.326276,6.858363,4.986318,-0.000217,-0.000592,KEEP_AS_CANDIDATE
buy_plus_cart_velocity_only,V2-2 plus buy and cart velocity features only,"buy_velocity_30d_vs_90d,buy_delta_30d_90d,cart_velocity_30d_vs_90d,cart_delta_30d_90d",4,31,0.832528,0.258317,0.494418,0.299126,0.217281,11.35405,6.869259,4.989736,0.001243,0.000996,KEEP_AS_CANDIDATE
buy_velocity_only,V2-2 plus buy velocity features only,"buy_velocity_30d_vs_90d,buy_delta_30d_90d",2,29,0.832198,0.25792,0.492464,0.298642,0.217248,11.309185,6.858149,4.988988,-0.000295,-0.000623,DROP_FROM_MINIMAL_SET
