model,segment_type,segment_name,row_count,positive_count,negative_count,positive_rate,roc_auc,pr_auc,precision_at_1pct,recall_at_1pct,lift_at_1pct,precision_at_5pct,recall_at_5pct,lift_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct
baseline_v2_2,activity_segment,high_activity,589475,61751,527724,0.104756,0.79672,0.338584,0.613062,0.058525,5.852289,0.453518,0.216466,4.329286,0.371802,0.354925,3.549224
baseline_v2_2,activity_segment,low_activity,1560321,31863,1528458,0.020421,0.769933,0.060684,0.086068,0.042149,4.214707,0.078637,0.192543,3.850815,0.07028,0.344161,3.44159
baseline_v2_4,activity_segment,high_activity,589475,61751,527724,0.104756,0.797526,0.343326,0.619338,0.059125,5.912204,0.460745,0.219915,4.398272,0.376586,0.359492,3.594891
baseline_v2_4,activity_segment,low_activity,1560321,31863,1528458,0.020421,0.763211,0.057544,0.089656,0.043907,4.39045,0.066921,0.163858,3.277115,0.063128,0.309136,3.091342
baseline_v2_2,lifecycle_segment,new_users,1410577,15945,1394632,0.011304,0.710897,0.045249,0.102226,0.090436,9.04344,0.062159,0.274945,5.498891,0.044429,0.393039,3.930377
baseline_v2_2,lifecycle_segment,returning_users,739219,77669,661550,0.105069,0.714871,0.291783,0.591641,0.056316,5.630973,0.424989,0.202243,4.044852,0.342523,0.325999,3.259983
baseline_v2_4,lifecycle_segment,new_users,1410577,15945,1394632,0.011304,0.714097,0.045653,0.103857,0.091878,9.187683,0.062769,0.277642,5.552826,0.044563,0.39423,3.942293
baseline_v2_4,lifecycle_segment,returning_users,739219,77669,661550,0.105069,0.713233,0.295204,0.604897,0.057578,5.757136,0.432158,0.205655,4.11309,0.34761,0.33084,3.308394
